"date","federal_state","company","arrivals","nights"
"1973-12","W96-4",83,718,1779
"1973-12","W96-4",84,380,1966
"1973-12","W96-4",60,6232,38923
"1973-12","W96-4",75,42,4802
"1973-12","W96-4",72,21,4391
"1973-12","W96-4",74,386,3823
"1973-12","W96-4",998,513,3060
"1973-12","W96-4",999,474,5591
"1973-12","W96-5",1,18737,82703
"1973-12","W96-5",2,41896,221140
"1973-12","W96-5",3,51091,268828
"1973-12","W96-5",70,470,2265
"1973-12","W96-5",81,2876,15154
"1973-12","W96-5",73,7599,49790
"1973-12","W96-5",71,402,10873
"1973-12","W96-5",83,605,3590
"1973-12","W96-5",84,2608,15996
"1973-12","W96-5",60,39376,230033
"1973-12","W96-5",72,147,1724
"1973-12","W96-5",74,207,1523
"1973-12","W96-5",998,5476,37211
"1973-12","W96-5",999,2911,19063
"1973-12","W96-6",1,9639,27798
"1973-12","W96-6",2,12250,54532
"1973-12","W96-6",3,39718,204791
"1973-12","W96-6",70,54,178
"1973-12","W96-6",81,1557,9190
"1973-12","W96-6",73,856,5439
"1973-12","W96-6",71,44,4743
"1973-12","W96-6",83,1068,3840
"1973-12","W96-6",84,1559,10638
"1973-12","W96-6",60,22705,152255
"1973-12","W96-6",75,114,4255
"1973-12","W96-6",74,430,3359
"1973-12","W96-6",998,653,5732
"1973-12","W96-6",999,707,2932
"1973-12","W96-7",1,30964,176597
"1973-12","W96-7",2,40400,256362
"1973-12","W96-7",3,104539,687775
"1973-12","W96-7",70,2257,19164
"1973-12","W96-7",81,1281,5551
"1973-12","W96-7",73,784,5481
"1973-12","W96-7",71,60,540
"1973-12","W96-7",83,335,3195
"1973-12","W96-7",84,933,8304
"1973-12","W96-7",60,85565,559764
"1973-12","W96-7",75,284,3504
"1973-12","W96-7",74,151,645
"1973-12","W96-7",998,3222,18986
"1973-12","W96-7",999,1081,8796
"1973-12","W96-8",1,12113,73141
"1973-12","W96-8",2,12048,70138
"1973-12","W96-8",3,20173,127119
"1973-12","W96-8",70,1328,11313
"1973-12","W96-8",81,742,4006
"1973-12","W96-8",73,826,6652
"1973-12","W96-8",83,40,115
"1973-12","W96-8",84,1163,6238
"1973-12","W96-8",60,26056,163867
"1973-12","W96-8",75,110,3985
"1973-12","W96-8",74,89,548
"1973-12","W96-8",998,674,2057
"1973-12","W96-8",999,1682,10136
"1973-12","W96-9",1,27887,73024
"1973-12","W96-9",2,16021,48137
"1973-12","W96-9",3,12271,43431
"1973-12","W96-9",70,32,85
"1973-12","W96-9",81,2544,11614
"1973-12","W96-9",84,160,539
"1973-12","W96-9",75,63,376
"1974-01","W96-1",1,148,991
"1974-01","W96-1",2,1338,7048
"1974-01","W96-1",3,1190,3370
"1974-01","W96-1",81,235,618
"1974-01","W96-1",71,324,6174
"1974-01","W96-1",84,265,448
"1974-01","W96-1",60,109,561
"1974-01","W96-1",72,135,1814
"1974-01","W96-1",74,123,3180
"1974-01","W96-1",998,172,217
"1974-01","W96-1",999,1,13
"1974-01","W96-2",1,10502,65162
"1974-01","W96-2",2,8047,51332
"1974-01","W96-2",3,13658,84786
"1974-01","W96-2",70,0,44
