"NUTS1","NUTS2","NUTS3","DISTRICT_CODE","Postal_CODE","Dog.Breed","Anzahl","Ref_Date"
"AT1","AT13","AT113",90100,1010,"Shih Tzu / Pudel",1,20231201
"AT1","AT13","AT113",90100,1010,"Siberian Husky",4,20231201
"AT1","AT13","AT113",90100,1010,"Siberian Husky / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"Spitz / English Cocker Spaniel mehrfaerbig",1,20231201
"AT1","AT13","AT113",90100,1010,"St. Bernhardshund Kurzhaar",2,20231201
"AT1","AT13","AT113",90100,1010,"Tibetan Terrier",2,20231201
"AT1","AT13","AT113",90100,1010,"Tschechoslowakischer Wolfhund",1,20231201
"AT1","AT13","AT113",90100,1010,"Unbekannt",21,20231201
"AT1","AT13","AT113",90100,1010,"Yorkshire Terrier",14,20231201
"AT1","AT13","AT113",90100,1010,"Yorkshire Terrier / Schwarzer Terrier",1,20231201
"AT1","AT13","AT113",90100,1010,"Zwergpinscher",3,20231201
"AT1","AT13","AT113",90100,1010,"Zwergpudel Apricot / English Cocker Spaniel mehrfaerbig",1,20231201
"AT1","AT13","AT113",90100,1010,"Zwergpudel Braun / Zwergschnauzer pfeffer-salz",1,20231201
"AT1","AT13","AT113",90100,1010,"Zwergschnauzer pfeffer-salz / Klein- oder Mittelpudel",1,20231201
"AT1","AT13","AT113",90200,1020,"Affenpinscher / Mischling",2,20231201
"AT1","AT13","AT113",90200,1020,"Aidi / Sloughi",1,20231201
"AT1","AT13","AT113",90200,1020,"Akita",8,20231201
"AT1","AT13","AT113",90200,1020,"Alaskan Malamute",2,20231201
"AT1","AT13","AT113",90200,1020,"American Akita",3,20231201
"AT1","AT13","AT113",90200,1020,"American Bulldog / American Staffordshire Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"American Cocker Spaniel / Jack Russell Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"American Cocker Spaniel / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"American Foxhound / Deutscher Schaeferhund",1,20231201
"AT1","AT13","AT113",90200,1020,"American Shepherd",1,20231201
"AT1","AT13","AT113",90200,1020,"American Staffordshire Terrier / Mischling",7,20231201
"AT1","AT13","AT113",90200,1020,"Appenzeller Sennenhund",1,20231201
"AT1","AT13","AT113",90200,1020,"Appenzeller Sennenhund / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Australian Cattledog / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Australian Shepherd",24,20231201
"AT1","AT13","AT113",90200,1020,"Australian Shepherd / Klein- oder Mittelpudel",1,20231201
"AT1","AT13","AT113",90200,1020,"Australian Shepherd / Labradoodle",1,20231201
"AT1","AT13","AT113",90200,1020,"Australian Shepherd / Siberian Husky",1,20231201
"AT1","AT13","AT113",90200,1020,"Barbet",1,20231201
"AT1","AT13","AT113",90200,1020,"Barbet / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Beagle",29,20231201
"AT1","AT13","AT113",90200,1020,"Beagle / Belgischer Schaeferhund",1,20231201
"AT1","AT13","AT113",90200,1020,"Beagle / Dalmatiner",1,20231201
"AT1","AT13","AT113",90200,1020,"Beagle / Kurzhaar Dachshund Kaninchen",1,20231201
"AT1","AT13","AT113",90200,1020,"Beagle / Labrador Retriever",4,20231201
"AT1","AT13","AT113",90200,1020,"Beagle / Mischling",4,20231201
"AT1","AT13","AT113",90200,1020,"Bearded Collie",4,20231201
"AT1","AT13","AT113",90200,1020,"Bearded Collie / Siberian Husky",1,20231201
"AT1","AT13","AT113",90200,1020,"Belgischer Schaeferhund / Deutscher Schaeferhund",1,20231201
"AT1","AT13","AT113",90200,1020,"Berger Blanc Suisse",5,20231201
"AT1","AT13","AT113",90200,1020,"Berger de Beauce (Beauceron)",2,20231201
"AT1","AT13","AT113",90200,1020,"Berner Laufhund",1,20231201
"AT1","AT13","AT113",90200,1020,"Berner Niederlaufhund",1,20231201
"AT1","AT13","AT113",90200,1020,"Berner Sennenhund",7,20231201
"AT1","AT13","AT113",90200,1020,"Berner Sennenhund / Kleiner Muensterlaender",1,20231201
"AT1","AT13","AT113",90200,1020,"Bichon frise",5,20231201
"AT1","AT13","AT113",90200,1020,"Bichon frise / Havaneser",1,20231201
"AT1","AT13","AT113",90200,1020,"Bolonka Zwetna",7,20231201
"AT1","AT13","AT113",90200,1020,"Border Collie",26,20231201
"AT1","AT13","AT113",90200,1020,"Border Terrier",2,20231201
"AT1","AT13","AT113",90200,1020,"Border Terrier / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Border Terrier / Schnauzer pfeffersalz",1,20231201
"AT1","AT13","AT113",90200,1020,"Braque Saint-Germain / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Bulldog",10,20231201
"AT1","AT13","AT113",90200,1020,"Bulldog / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Bullmastiff",1,20231201
"AT1","AT13","AT113",90200,1020,"Ca de Bestiar (Mallorca Schaeferhund) / Border Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Canaan Dog",1,20231201
"AT1","AT13","AT113",90200,1020,"Cane Corso Italiano / Mischling",2,20231201
"AT1","AT13","AT113",90200,1020,"Catahoula Leopard Dog",1,20231201
"AT1","AT13","AT113",90200,1020,"Chihuahua Kurzhaar / Dackel",1,20231201
"AT1","AT13","AT113",90200,1020,"Chihuahua Kurzhaar / Deutscher Pinscher",1,20231201
"AT1","AT13","AT113",90200,1020,"Chihuahua Kurzhaar / Papillon",1,20231201
"AT1","AT13","AT113",90200,1020,"Chihuahua Kurzhaar / Zwergpinscher",2,20231201
"AT1","AT13","AT113",90200,1020,"Chihuahua Langhaar / Zwergspitz (Pomeranian)",2,20231201
"AT1","AT13","AT113",90200,1020,"Chinese Crested Dog hairless",3,20231201
"AT1","AT13","AT113",90200,1020,"Coban Koepegi (Anatolischer Hirtenhund) / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Collie Kurzhaar (Smooth)",1,20231201
"AT1","AT13","AT113",90200,1020,"Collie Langhaar (Rough) / Deutscher Schaeferhund Langstockhaa",1,20231201
"AT1","AT13","AT113",90200,1020,"Coton de Tulear",1,20231201
"AT1","AT13","AT113",90200,1020,"Curly-Coated Retriever",1,20231201
"AT1","AT13","AT113",90200,1020,"Dackel",13,20231201
"AT1","AT13","AT113",90200,1020,"Dackel / Deutscher Pinscher",1,20231201
"AT1","AT13","AT113",90200,1020,"Dackel / Mischling",25,20231201
"AT1","AT13","AT113",90200,1020,"Dackel / Oesterreichischer Pinscher",1,20231201
"AT1","AT13","AT113",90200,1020,"Dackel / Pekingese",1,20231201
"AT1","AT13","AT113",90200,1020,"Dackel / Scottish Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Dalmatiner",4,20231201
"AT1","AT13","AT113",90200,1020,"Deutsch Drahthaar",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutsch Kurzhaar",3,20231201
"AT1","AT13","AT113",90200,1020,"Deutsch Kurzhaar / Chihuahua Kurzhaar",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutsch Kurzhaar / Dackel",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutsch Langhaar / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Boxer gestromt",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Pinscher",3,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Pinscher / Beagle",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Pinscher / Mischling",3,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Schaeferhund",14,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Schaeferhund / Jack Russell Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Schaeferhund / Rauhhaar Dachshund Normal",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Schaeferhund / Siberian Husky",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Schaeferhund Langstockhaar",4,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Schaeferhund Langstockhaar / Siberian Husky",1,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Spitz",3,20231201
"AT1","AT13","AT113",90200,1020,"Deutscher Spitz / Grossspitz Weiss",1,20231201
"AT1","AT13","AT113",90200,1020,"Dobermann braun-rot / Deutscher Pinscher",1,20231201
"AT1","AT13","AT113",90200,1020,"Dobermann braun-rot / Deutscher Schaeferhund",1,20231201
"AT1","AT13","AT113",90200,1020,"Dog de Bordeaux (Bordeauxdogge)",2,20231201
"AT1","AT13","AT113",90200,1020,"Drentsche Patrijshond",2,20231201
"AT1","AT13","AT113",90200,1020,"Elo",1,20231201
"AT1","AT13","AT113",90200,1020,"English Cocker Spaniel einfaerbig",21,20231201
"AT1","AT13","AT113",90200,1020,"English Cocker Spaniel einfaerbig / Deutsch Langhaar",1,20231201
"AT1","AT13","AT113",90200,1020,"English Cocker Spaniel einfaerbig / Mischling",3,20231201
"AT1","AT13","AT113",90200,1020,"English Cocker Spaniel mehrfaerbig / Golden Retriever",1,20231201
"AT1","AT13","AT113",90200,1020,"English Cocker Spaniel mehrfaerbig / Grosser Muensterlaender",1,20231201
"AT1","AT13","AT113",90200,1020,"English Pointer / Dalmatiner",1,20231201
"AT1","AT13","AT113",90200,1020,"English Pointer / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"English Setter",3,20231201
"AT1","AT13","AT113",90200,1020,"English Springer Spaniel / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Epagneul breton",2,20231201
"AT1","AT13","AT113",90200,1020,"Eurasier",1,20231201
